Seller ID,Product ID,Product Price,Product Titlte,Product Image,Product Link,TikiNow,Freeship,Shocking Price,Reviews,Star Rating,Underpricing,Installments Allowed,Freegift,Additional Info,discount
50819880,1883861365827,99000,"Bơm xe đạp, xe máy xách tay siêu nhẹ, áp suất 120 PSI, thân hợp kim siêu bền, hỗ trợ cả van Mỹ và van Pháp, bơm được cho tất cả các loại xe đạp bao gồm xe đua, xe địa hình, xe đạp đường trường, thương hiệu Wheel Up - Hàng chính hãng ",https://salt.tikicdn.com/cache/280x280/ts/product/b4/09/d2/be7f405e023b9ad1038d91484fd8e228.png,https://tiki.vn//bom-xe-dap-xach-tay-sieu-nhe-ap-suat-120-psi-than-hop-kim-sieu-ben-ho-tro-ca-van-my-va-van-phap-bom-duoc-cho-tat-ca-cac-loai-xe-dap-bao-gom-xe-dua-xe-dia-hinh-xe-dap-duong-truong-thuong-hieu-wheel-up-hang-chinh-hang-p50819880.html,True,False,False,189,4.5,False,False,False,,-29%
58706399,4734457943943,375000,Cảm Biến Áp Suất Lốp  Ô Tô Van Ngoài CAR365TMS01 Chính Hãng,https://salt.tikicdn.com/cache/280x280/ts/product/79/e5/bd/25f012733fb0fcc604151992778e366e.jpg,https://tiki.vn//cam-bien-ap-suat-lop-o-to-van-ngoai-car365tms01-chinh-hang-p58706399.html,True,True,False,80,4.5,False,False,False,,-75%
1254583,8003399422875,153000,Dung Dịch Chống Bám Nước Trên Kính Xe 3M Glass Coat Windshield 3M 08889 (200ml),https://salt.tikicdn.com/cache/280x280/ts/product/af/83/9d/f83ddaa48033d75f871419fd25f36c4f.jpg,https://tiki.vn//dung-dich-chong-bam-nuoc-tren-kinh-xe-3m-glass-coat-windshield-3m-08889-200ml-p1254583.html,True,False,False,117,4.5,False,False,False,,-4%
49472693,1634828133047,456000,"Nón bảo hiểm 3/4 kính âm Royal M139 Đen nhám cao cấp Lót tháo rời, che hết mặt",https://salt.tikicdn.com/cache/280x280/ts/product/ec/92/a3/79285c56a90e94b3a0e4747685944e3e.jpg,https://tiki.vn//non-bao-hiem-3-4-kinh-am-royal-m139-den-nham-cao-cap-lot-thao-roi-che-het-mat-p49472693.html,True,False,False,86,4.5,False,False,False,,-31%
40430669,3386524999837,82500000,Xe Máy Honda SH 125i Phanh CBS 2020,https://salt.tikicdn.com/cache/280x280/ts/product/d2/0a/4e/5fcd05e5afe4e0ce46732498f35abca9.jpg,https://tiki.vn//xe-may-honda-sh-125i-phanh-cbs-2020-p40430669.html,False,False,False,16,5.0,False,True,False,Chỉ giao tại HCM,-8%
56650569,1040319419338,229000,Mũ Bảo Hiểm ¾ Napoli Sh2 Ruby Thời Thượng Nhiều Màu Cá Tính Free Size (55-58cm),https://salt.tikicdn.com/cache/280x280/ts/product/c1/24/23/fdd21545a0df93d7637ca512c709fa20.jpg,https://tiki.vn//mu-bao-hiem-napoli-sh2-ruby-thoi-thuong-nhieu-mau-ca-tinh-free-size-55-58cm-p56650569.html,True,False,False,78,4.5,False,False,False,,-39%
58355840,5145426278918,70090000,Xe Máy Honda SH Mode 125cc 2020 - Phiên bản Thời trang - Phanh ABS,https://salt.tikicdn.com/cache/280x280/ts/product/cc/37/0e/143869f00a358ab2c0b3fd617d0a3728.png,https://tiki.vn//xe-may-honda-sh-mode-125cc-2020-phien-ban-thoi-trang-phanh-abs-p58355840.html,True,False,False,17,5.0,False,True,False,,-12%
11584339,7703849416706,70000000,Xe Máy Nhập Khẩu Suzuki GSX R150 - Xanh GP,https://salt.tikicdn.com/cache/280x280/ts/product/57/5d/96/ae095fa7757ab9fb2a8390b22ec46890.jpg,https://tiki.vn//xe-may-nhap-khau-suzuki-gsx-r150-xanh-gp-p11584339.html,False,True,False,7,4.5,False,True,False,Chỉ giao tại HCM,-11%
12207786,7830538016128,277000,Mũ bảo hiểm 3/4 Asia M115 kính gương,https://salt.tikicdn.com/cache/280x280/ts/product/5f/17/a3/aa171604fa44910edafd66b47927f146.jpg,https://tiki.vn//mu-bao-hiem-3-4-asia-m115-kinh-guong-p12207786.html,True,False,False,136,4.5,False,False,False,,-6%
58357336,5224107979358,72890000,Xe Máy Honda SH Mode 125cc 2020 - Phiên bản Cá tính - Phanh ABS,https://salt.tikicdn.com/cache/280x280/ts/product/9c/51/b0/c05f1a31b131e0d8ab2e954c2babf189.png,https://tiki.vn//xe-may-honda-sh-mode-125cc-2020-phien-ban-ca-tinh-phanh-abs-p58357336.html,True,False,False,8,5.0,False,True,False,,-9%
